"id","emmean","se","df","conf.low","conf.high","method"
"1",0.106678420322582,0.126651894597947,341,-0.142438906876913,0.355795747522077,"Emmeans test"
"2",0.138917250000001,0.128745456173895,341,-0.114317997944252,0.392152497944255,"Emmeans test"
"3",0.321718236666668,0.153880252540847,341,0.0190442234318067,0.624392249901529,"Emmeans test"
"4",0.556217881785714,0.133264207841138,341,0.294094497258937,0.818341266312491,"Emmeans test"
"5",0.136897876551724,0.130946392632796,341,-0.120666492640325,0.394462245743772,"Emmeans test"
"7",0.301277195806452,0.126651894597947,341,0.0521598686069565,0.550394523005948,"Emmeans test"
"8",0.3147131265625,0.124657251915343,341,0.0695191520722998,0.5599071010527,"Emmeans test"
"9",0.37612848032258,0.126651894597947,341,0.127011153123084,0.625245807522075,"Emmeans test"
"10",0.405477588590831,0.126651894597947,341,0.156360261391336,0.654594915790327,"Emmeans test"
"11",0.714093471666666,0.128745456173895,341,0.460858223722412,0.96732871961092,"Emmeans test"
"12",1.68743168362976,0.130946392632796,341,1.42986731443772,1.94499605282181,"Emmeans test"
"13",1.58924130433334,0.128745456173895,341,1.33600605638908,1.84247655227759,"Emmeans test"
