"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",0.0636925000000002,0.0264319025353511,213,0.0115908882981786,0.115794111701822,"Emmeans test"
"dry2dry5_Middlestream",0.0690436842105262,0.0242555772709709,213,0.0212319662728765,0.116855402148176,"Emmeans test"
"dry2dry5_Upstream",0.082805,0.0305209320879578,213,0.0226432409174798,0.14296675908252,"Emmeans test"
"dry2wet5_Downstream",0.0888316666666668,0.0305209320879577,213,0.0286699075841469,0.148993425749187,"Emmeans test"
"dry2wet5_Middlestream",0.0800460000000002,0.0272987515541313,213,0.026235686818208,0.133856313181792,"Emmeans test"
"dry2wet5_Upstream",0.0240511111111111,0.0352425367138015,213,-0.0454177044913177,0.0935199267135398,"Emmeans test"
"other_Downstream",0.0662805555555556,0.0176212683569007,213,0.0315461477543412,0.10101496335677,"Emmeans test"
"other_Middlestream",0.0616621428571428,0.0163141244283047,213,0.0295043299610821,0.0938199557532036,"Emmeans test"
"other_Upstream",0.0294438095238095,0.0230716560247508,213,-0.0160342056100561,0.074921824657675,"Emmeans test"
"wet2wet5_Downstream",0.0528016666666666,0.0305209320879578,213,-0.00736009241585339,0.112963425749187,"Emmeans test"
"wet2wet5_Middlestream",0.0914735000000001,0.0236414123374776,213,0.0448724017989716,0.138074598201029,"Emmeans test"
"wet2wet5_Upstream",0.0165154545454545,0.0318780738927284,213,-0.0463214534500844,0.0793523625409935,"Emmeans test"
